uid,name,pos,img,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970
MahoPa00,Patrick Mahomes,QB,https://www.pro-football-reference.com/req/20230307/images/headshots/MahoPa00_2023.jpg,416.9,361.7,374.4,287.0,417.1,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JacoJo01,Josh Jacobs,RB,https://www.pro-football-reference.com/req/20230307/images/headshots/JacoJo01_2022.jpg,301.8,199.0,214.8,181.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McCaCh01,Christian McCaffrey,RB,https://www.pro-football-reference.com/req/20230307/images/headshots/McCaCh01_2023.jpg,313.9,109.0,81.9,413.2,332.0,188.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HenrDe00,Derrick Henry,RB,https://www.pro-football-reference.com/req/20230307/images/headshots/HenrDe00_2023.jpg,286.3,184.3,323.6,285.6,193.9,129.5,99.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JeffJu00,Justin Jefferson,WR,https://www.pro-football-reference.com/req/20230307/images/headshots/JeffJu00_2022.jpg,304.7,276.4,230.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EkelAu00,Austin Ekeler,RB,https://www.pro-football-reference.com/req/20230307/images/headshots/EkelAu00_2023.jpg,319.2,308.8,138.3,263.0,149.3,93.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlleJo02,Josh Allen,QB,https://www.pro-football-reference.com/req/20230307/images/headshots/AlleJo02_2023.jpg,395.5,402.6,395.6,288.6,208.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KelcTr00,Travis Kelce,TE,https://www.pro-football-reference.com/req/20230307/images/headshots/KelcTr00_2023.jpg,261.3,216.8,260.3,205.8,243.1,192.0,180.5,153.5,149.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AdamDa01,Davante Adams,WR,https://www.pro-football-reference.com/req/20230307/images/headshots/AdamDa01_2023.jpg,285.5,282.8,300.9,171.2,274.1,185.5,209.2,81.3,81.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChubNi00,Nick Chubb,RB,https://www.pro-football-reference.com/req/20230307/images/headshots/ChubNi00_2022.jpg,267.9,205.3,199.7,237.2,184.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
